,workerId,treatment,initialDecision,shareWillingness,finalDecision,newsIndex,time,mlCorrectness,finalCorrectness,label
596,500,2,1,40.0,1,27.0,Wed Dec 22 2021 11:22:00 GMT-0500 (Eastern Standard Time),True,False,-1
598,545,2,-1,60.0,1,16.0,Wed Dec 22 2021 10:58:13 GMT-0500 (Eastern Standard Time),False,True,1
601,272,0,1,60.0,1,29.0,Thu Dec 23 2021 20:44:01 GMT-0500 (GMT-05:00),True,False,-1
608,377,0,1,40.0,1,34.0,Wed Dec 22 2021 11:36:54 GMT-0600 (Central Standard Time),True,False,-1
617,464,0,1,70.0,1,26.0,Tue Dec 21 2021 17:26:08 GMT-0500 (GMT-05:00),True,False,-1
618,318,0,1,80.0,-1,39.0,Wed Dec 22 2021 14:06:51 GMT-0500 (Eastern Standard Time),True,True,-1
619,434,0,1,80.0,1,38.0,Mon Dec 27 2021 17:17:51 GMT-0500 (Eastern Standard Time),False,False,-1
622,270,0,1,0.0,1,14.0,Mon Dec 27 2021 10:06:09 GMT-0600 (Central Standard Time),True,True,1
623,522,2,1,70.0,1,5.0,Wed Dec 22 2021 14:16:10 GMT-0800 (Pacific Standard Time),True,True,1
624,501,2,1,70.0,1,10.0,Tue Dec 21 2021 16:44:21 GMT-0500 (Eastern Standard Time),True,True,1
625,311,2,1,60.0,1,15.0,Wed Dec 22 2021 11:53:20 GMT-0800 (Pacific Standard Time),True,True,1
626,185,2,1,70.0,1,25.0,Wed Dec 22 2021 15:33:17 GMT-0500 (Eastern Standard Time),False,False,-1
627,611,0,1,50.0,1,21.0,Tue Dec 21 2021 11:49:14 GMT-0500 (Eastern Standard Time),True,False,-1
629,91,2,1,10.0,1,26.0,Wed Dec 22 2021 14:23:11 GMT-0500 (Eastern Standard Time),True,False,-1
632,299,0,1,90.0,1,29.0,Wed Dec 22 2021 11:19:53 GMT-0500 (Eastern Standard Time),True,False,-1
636,309,1,1,0.0,1,9.0,Thu Dec 23 2021 16:22:56 GMT-0500 (Eastern Standard Time),False,True,1
640,346,1,1,60.0,1,38.0,Fri Dec 24 2021 12:15:49 GMT-0500 (Eastern Standard Time),False,False,-1
643,580,0,1,70.0,-1,24.0,Wed Dec 22 2021 11:35:52 GMT-0600 (Central Standard Time),True,True,-1
647,206,1,1,90.0,1,7.0,Tue Dec 21 2021 16:37:11 GMT-0500 (GMT-05:00),True,True,1
652,225,1,-1,90.0,-1,14.0,Wed Dec 22 2021 12:35:53 GMT-0500 (Eastern Standard Time),True,False,1
654,478,0,1,100.0,1,32.0,Fri Dec 24 2021 11:23:35 GMT-0500 (Eastern Standard Time),True,False,-1
658,249,0,1,80.0,1,25.0,Wed Dec 22 2021 12:35:51 GMT-0800 (Pacific Standard Time),False,False,-1
